			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
rnd-1_family-68	Unknown	Unknown	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-72	Unknown	Unknown	0	0	0	0	0	0	6758	7314	0	0	0	261	62	0	445	386	729	985	1950	1776	2118	3280	2350	2894	1939	1669	1045	828	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-297	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	155	132	996	918	1385	957	2863	5675	2782	3605	2507	1817	902	1364	286	116	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-57	Unknown	Unknown	0	0	0	0	74	0	0	0	2620	693	612	1096	999	796	1309	1073	1217	650	0	661	87	311	530	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-429	Unknown	Unknown	0	0	0	0	63	0	149	110	322	336	147	406	257	122	233	190	0	249	307	63	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-645	Unknown	Unknown	0	0	0	5122	2182	11247	6252	3431	1496	783	0	4713	103	15	1076	1721	1685	2549	3760	4046	2743	2167	2786	1308	4643	1905	2461	2203	214	10	421	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-76	Unknown	Unknown	0	0	0	0	0	0	0	793	494	874	809	1748	2165	5872	5298	4602	4724	4035	1000	747	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-6	Unknown	Unknown	0	0	0	211	1613	900	935	3688	4672	2117	6096	5291	6626	4139	1444	1388	809	838	929	38	69	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3965	Unknown	Unknown	0	0	34	0	0	0	0	316	88	101	57	102	357	778	434	1409	1748	1811	1583	1630	1716	1976	1120	1050	1388	158	356	0	139	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1546	Unknown	Unknown	0	0	0	0	0	0	0	329	0	1110	107	1516	3483	7725	15830	23247	34910	38673	50025	31218	29690	15820	16915	8195	6715	3442	2350	1485	238	413	1020	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1070	Unknown	Unknown	0	0	2188	6410	4108	1168	210	3759	3217	2117	824	35	358	1572	859	509	442	993	438	354	220	280	50	0	0	117	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-756	LTR	Gypsy	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	131	0	219	0	193	285	588	356	584	1943	921	655	809	318	632	420	149	274	251	0	148	133	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-17	Unknown	Unknown	166	106	5750	9786	6147	6467	9459	10416	4271	3221	4304	7720	8868	6221	5701	2556	4083	5556	3126	2548	731	1528	904	597	342	383	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-12143	Unknown	Unknown	0	0	5558	1627	1437	0	2375	0	0	2225	1520	0	105	417	1434	2135	1474	1353	725	146	247	355	187	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1088	Unknown	Unknown	0	0	0	785	90	112	178	187	332	440	1220	889	1175	1461	1340	2209	2622	3461	2978	2328	2409	2036	872	342	589	495	766	160	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1	DNA	TcMar-Mariner	1851	22037	213660	127045	22632	2611	236	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	72	0	0	237	320	1130	115	891	0	1276	856	779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-251	DNA	TcMar-Mariner	0	0	0	0	42	0	177	42	528	1106	1247	2900	2886	4229	3961	5885	3236	1571	1628	2009	791	207	303	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-25	DNA	TcMar-Tc1	215	640	592	2009	3480	7387	14652	9958	6306	2422	1322	1379	1190	506	245	135	0	0	0	528	614	2102	2887	2783	2402	2169	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-284	Unknown	Unknown	56	112	440	365	3471	7409	5995	3673	2568	1054	1423	241	1387	799	712	1376	363	0	323	334	123	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-26	Unknown	Unknown	0	202	350	6347	5447	1772	1937	2716	11065	10612	13162	10000	8568	3376	3810	1250	2120	1498	1935	766	1074	98	482	903	125	0	758	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-7121	Unknown	Unknown	0	0	0	304	0	0	0	0	0	55	136	179	0	0	180	179	153	581	203	441	407	458	645	605	868	649	663	211	0	106	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3073	Unknown	Unknown	0	0	0	53	0	0	63	0	0	0	324	524	786	1079	1895	1421	2338	2199	2389	1680	1025	1196	364	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-109	Unknown	Unknown	0	0	0	0	0	0	0	341	0	0	105	60	146	53	0	473	338	499	450	513	807	646	668	1386	843	568	367	399	421	30	435	206	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-303	Unknown	Unknown	0	0	213	146	7985	12809	8554	7702	4887	6501	5405	2482	2380	2042	1520	1977	2958	3981	3745	5524	4150	6089	6215	4286	2663	712	1413	534	318	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
